Activity Label,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Training Run,Running,2024-09-11 07:43:19,false,"Charlottesville Running","8.14","834","00:54:59","136","147","3.0","153","165","6:45","5:56","387","400","1.54","7.7","11.8","267","6:45","423","0.0","418","575","NaN","NaN","--","NaN","NaN","NaN","64.4","No","00:54:59","1","77.0","--","--","--","00:54:53","00:58:01","442","602"
Double,Running,2024-09-10 18:01:04,false,"Charlottesville Running","5.02","549","00:35:28","139","154","2.8","151","163","7:04","6:09","233","230","1.50","7.9","11.9","276","7:02","407","0.0","402","548","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:35:28","1","86.0","--","--","--","00:35:24","00:37:15","486","583"
Workout,Running,2024-09-10 08:03:53,false,"Albemarle County Running","9.02","908","00:56:03","146","178","3.5","150","205","6:13","3:30","295","282","1.70","7.1","11.7","253","6:13","453","0.0","433","753","NaN","NaN","--","NaN","NaN","NaN","69.8","No","00:00:02.5","16","82.4","32","11","44","00:54:44","01:36:20","290","390"
Training Run,Running,2024-09-09 07:45:20,false,"Charlottesville Running","9.26","924","01:02:38","132","150","3.1","154","187","6:46","3:53","499","502","1.53","7.7","11.8","267","6:44","424","0.0","418","656","NaN","NaN","--","NaN","NaN","NaN","60.8","No","00:03:28.1","2","73.4","--","--","--","01:02:29","01:09:09","374","602"
Recovery,Running,2024-09-08 12:43:36,false,"Albemarle County Running","6.00","660","00:44:45","137","145","2.8","151","161","7:27","5:53","564","535","1.44","8.2","11.8","285","7:16","407","0.0","395","575","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:44:45","1","89.6","--","--","--","00:44:45","00:45:24","390","696"
Long Run,Running,2024-09-07 08:36:42,false,"Albemarle County Running","13.51","1,385","01:28:47","142","166","3.6","155","167","6:34","5:40","951","879","1.58","7.6","11.9","263","6:30","443","0.0","435","638","NaN","NaN","--","NaN","NaN","NaN","71.6","No","01:28:47","1","82.4","--","--","--","01:28:45","01:33:41","574","868"
Workout,Running,2024-09-06 16:03:30,false,"Charlottesville Running","6.01","635","00:36:46","154","177","3.4","149","212","6:07","4:16","56","43","1.74","7.0","11.8","255","6:04","459","0.0","433","616","NaN","NaN","--","NaN","NaN","NaN","82.4","No","00:00:47.0","13","91.4","34","15","47","00:36:35","00:51:50","534","572"
Workout,Running,2024-09-06 07:38:26,false,"Charlottesville Running","9.00","959","00:55:43","154","182","3.9","152","188","6:11","3:33","220","194","1.68","7.1","11.5","254","6:11","457","0.0","433","724","NaN","NaN","--","NaN","NaN","NaN","68.0","No","00:00:05.2","11","80.6","35","14","51","00:54:57","01:25:42","533","583"
Training Run,Running,2024-09-05 10:24:30,false,"Charlottesville Running","9.02","982","01:00:13","145","163","3.4","153","200","6:40","4:01","374","371","1.57","7.7","12.1","269","6:38","432","0.0","427","669","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:03:01.5","3","82.4","--","--","--","01:00:11","01:03:54","478","585"
Training Run,Running,2024-09-04 07:46:05,false,"Charlottesville Running","11.08","1,141","01:14:04","140","153","3.3","153","167","6:41","5:24","614","614","1.56","7.7","11.9","266","6:39","431","0.0","425","617","NaN","NaN","--","NaN","NaN","NaN","66.2","No","01:14:04","1","73.4","--","--","--","01:13:52","01:19:22","455","766"
Double,Running,2024-09-03 17:13:29,false,"Charlottesville Running","5.01","523","00:29:27","156","167","3.3","154","175","5:53","5:05","230","256","1.76","7.0","12.4","248","5:51","488","0.0","479","649","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:29:27","1","86.0","--","--","--","00:29:23","00:30:39","497","592"
Workout,Running,2024-09-03 08:11:14,false,"Albemarle County Running","11.01","1,164","01:10:09","150","177","3.8","147","235","6:22","3:54","531","551","1.70","6.9","11.5","248","6:18","460","0.0","423","681","NaN","NaN","--","NaN","NaN","NaN","69.8","No","00:00:44.7","18","78.8","32","17","45","01:07:44","01:38:43","460","522"
Training Run,Running,2024-09-02 07:43:06,false,"Charlottesville Running","9.52","967","01:07:09","132","159","3.0","153","177","7:03","4:30","459","453","1.48","7.9","11.7","273","7:03","402","0.0","397","573","NaN","NaN","--","NaN","NaN","NaN","77.0","No","00:02:31.2","2","82.4","29","19","39","01:07:00","01:12:46","394","558"
Long Run,Running,2024-09-01 23:00:00,false,"Running","14.00","1,547","01:28:00","154","--","--","154","--","6:17","--","968","968","1.66","NaN","NaN","NaN","--","--","0.0","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","01:28:00","1","NaN","--","--","--","00:NaN:NaN","01:28:00","--","--"
WU/CD,Running,2024-08-31 09:52:09,false,"Hanover County Running","5.01","584","00:36:21","149","160","3.0","151","167","7:15","6:26","69","62","1.47","8.0","11.8","280","7:13","391","0.0","389","495","NaN","NaN","--","NaN","NaN","NaN","86.0","No","00:36:21","1","89.6","--","--","--","00:36:18","00:41:13","149","192"
WU/CD,Running,2024-08-31 08:21:14,false,"Hanover County Running","2.59","252","00:16:59","130","163","2.2","153","175","6:33","5:00","56","62","1.58","7.6","11.9","262","6:36","426","0.0","422","581","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:03:27.8","2","82.4","--","--","--","00:16:57","00:31:38","146","175"
Training Run,Running,2024-08-30 07:43:09,false,"Charlottesville Running","5.00","530","00:35:23","136","159","2.7","153","188","7:05","5:25","344","341","1.47","7.9","11.6","272","7:00","414","0.0","403","657","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:35:23","1","84.2","--","--","--","00:35:21","00:37:52","509","608"
Workout,Running,2024-08-29 09:09:12,false,"Charlottesville Running","8.00","877","00:51:43","152","175","3.4","154","184","6:28","3:49","233","233","1.59","7.5","11.9","264","6:30","433","0.0","426","689","NaN","NaN","--","NaN","NaN","NaN","84.2","No","00:00:32.8","18","93.2","--","--","--","00:51:37","01:12:58","530","577"
Training Run,Running,2024-08-28 07:38:31,false,"Charlottesville Running","9.08","1,009","01:03:18","146","162","3.4","151","167","6:58","5:56","394","354","1.51","7.9","11.9","275","6:58","409","0.0","405","620","NaN","NaN","--","NaN","NaN","NaN","82.4","No","01:03:18","1","87.8","--","--","--","01:03:06","01:08:48","436","596"
Double,Running,2024-08-27 17:12:37,false,"Charlottesville Running","4.90","533","00:33:51","141","161","3.0","152","214","6:55","5:40","236","243","1.52","7.8","11.9","272","6:54","413","0.0","410","537","NaN","NaN","--","NaN","NaN","NaN","89.6","No","00:33:51","1","93.2","--","--","--","00:33:47","00:37:27","512","587"
Workout,Running,2024-08-27 07:57:15,false,"Albemarle County Running","10.01","1,085","01:03:15","158","184","4.2","151","187","6:19","4:17","308","315","1.67","7.2","11.8","257","6:17","449","0.0","427","624","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:01:59.2","9","89.6","35","23","44","01:02:43","01:31:33","304","382"
Training Run,Running,2024-08-26 07:43:17,false,"Charlottesville Running","10.05","1,046","01:07:37","138","153","3.3","154","181","6:44","4:03","423","407","1.54","7.7","11.8","266","6:43","423","0.0","419","679","NaN","NaN","--","NaN","NaN","NaN","77.0","No","00:06:19.6","2","87.8","--","--","--","01:07:28","01:17:15","370","598"
Long Run,Running,2024-08-25 08:22:54,false,"Louisa County Running","14.04","1,446","01:24:31","152","167","4.2","156","169","6:01","5:14","551","515","1.71","7.2","12.2","250","6:00","470","0.0","466","622","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:24:31","1","89.6","34","18","44","01:24:28","01:29:00","333","516"
Double,Running,2024-08-24 13:10:48,false,"Charlottesville Running","4.63","510","00:32:35","142","157","2.8","156","172","7:02","6:19","115","131","1.46","7.8","11.4","267","7:00","403","0.0","400","573","NaN","NaN","--","NaN","NaN","NaN","84.2","No","00:32:35","1","91.4","--","--","--","00:32:34","00:34:49","500","591"
Workout,Running,2024-08-23 17:48:28,false,"Charlottesville Running","5.06","529","00:30:38","156","178","3.3","151","173","6:03","4:36","20","23","1.76","6.9","11.8","246","6:05","460","0.0","434","567","NaN","NaN","--","NaN","NaN","NaN","84.2","No","00:00:59.5","7","89.6","35","23","45","00:30:07","00:38:47","526","552"
Workout,Running,2024-08-23 08:15:25,false,"Charlottesville Running","11.01","1,141","01:05:40","155","180","4.2","154","187","5:58","4:26","164","131","1.74","7.0","12.0","250","5:58","467","0.0","449","589","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:01:36.8","7","86.0","35","22","50","01:05:19","01:34:52","537","582"
Training Run,Running,2024-08-22 09:46:33,false,"Charlottesville Running","10.57","1,093","01:11:14","141","166","3.3","153","215","6:45","5:14","735","719","1.54","7.7","11.8","264","6:41","427","0.0","420","594","NaN","NaN","--","NaN","NaN","NaN","75.2","No","01:11:14","1","84.2","--","--","--","01:10:56","01:19:51","324","580"
Training Run,Running,2024-08-21 07:44:21,false,"Charlottesville Running","9.28","957","01:04:03","137","156","3.1","155","170","6:54","5:50","636","650","1.50","7.8","11.6","266","6:49","422","0.0","413","660","NaN","NaN","--","NaN","NaN","NaN","64.4","No","01:04:03","1","78.8","--","--","--","01:03:53","01:07:56","448","614"
Double,Running,2024-08-20 17:04:00,false,"Charlottesville Running","5.02","569","00:33:41","148","166","3.2","153","163","6:42","6:11","253","253","1.56","7.7","11.9","267","6:40","435","0.0","428","574","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:33:41","1","82.4","--","--","--","00:33:41","00:35:17","480","579"
Workout,Running,2024-08-20 08:29:12,false,"Albemarle County Running","10.53","1,125","01:04:50","157","183","4.2","156","194","6:09","4:15","371","361","1.66","7.2","11.7","255","6:09","459","0.0","446","706","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:00:01.8","23","80.6","35","19","46","01:04:41","01:31:03","306","388"
Training Run,Running,2024-08-19 10:37:15,false,"Chicago Running","10.01","1,053","01:06:31","144","158","3.4","153","170","6:39","4:47","95","89","1.57","7.6","12.0","266","6:40","428","0.0","429","667","NaN","NaN","--","NaN","NaN","NaN","84.2","No","01:06:31","1","87.8","--","--","--","01:06:22","01:09:18","589","619"
Long Run,Running,2024-08-18 09:17:34,false,"Chicago Running","14.60","1,555","01:25:08","164","179","5.0","156","176","5:50","4:44","157","167","1.77","7.0","12.4","246","5:50","490","0.0","487","669","NaN","NaN","--","NaN","NaN","NaN","84.2","No","01:25:08","1","87.8","37","22","44","01:25:07","01:31:26","571","618"
Training Run,Running,2024-08-17 10:44:40,false,"Chicago Running","9.30","973","01:01:43","143","157","3.3","152","169","6:38","5:27","138","148","1.59","7.7","12.1","269","6:40","429","0.0","428","535","NaN","NaN","--","NaN","NaN","NaN","82.4","No","01:01:43","1","91.4","--","--","--","01:01:36","01:04:29","585","629"
Training Run,Running,2024-08-16 11:26:24,false,"Chicago Running","10.02","1,065","01:01:25","154","171","4.1","154","165","6:08","5:11","52","59","1.69","7.3","12.3","256","6:09","458","0.0","458","604","NaN","NaN","--","NaN","NaN","NaN","89.6","No","01:01:25","1","96.8","--","--","--","01:01:21","01:04:19","590","627"
Training Run,Running,2024-08-15 08:26:45,false,"Charlottesville Running","10.03","1,048","01:09:40","139","159","3.3","155","196","6:57","3:41","768","751","1.49","7.8","11.5","269","6:50","425","0.0","412","766","NaN","NaN","--","NaN","NaN","NaN","77.0","No","00:06:58.6","2","87.8","--","--","--","01:09:36","01:15:05","485","613"
Recovery,Running,2024-08-14 08:55:49,false,"Charlottesville Running","7.00","742","00:51:23","135","152","2.7","154","163","7:20","6:27","276","289","1.42","8.1","11.5","277","7:19","388","0.0","384","569","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:51:23","1","87.8","--","--","--","00:51:23","00:56:06","480","584"
Workout,Running,2024-08-13 18:11:27,false,"Albemarle County Running","9.78","1,000","00:58:39","153","177","3.9","158","173","6:00","4:46","148","115","1.69","7.1","11.8","249","6:01","458","0.0","449","564","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:00:59.1","19","89.6","34","18","45","00:58:34","01:14:41","532","577"
Workout,Running,2024-08-13 08:40:58,false,"Charlottesville Running","9.82","1,008","01:00:36","150","171","3.8","156","170","6:10","4:49","203","194","1.67","7.3","11.9","253","6:09","454","0.0","441","556","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:00:59.1","13","87.8","34","17","45","01:00:26","01:23:55","491","579"
Training Run,Running,2024-08-12 09:13:34,false,"Charlottesville Running","9.51","1,000","01:03:21","145","167","3.5","154","197","6:40","3:38","725","666","1.55","7.6","11.7","262","6:36","433","0.0","424","730","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:04:05.5","2","87.8","--","--","--","01:03:10","01:08:40","386","587"
Training Run,Running,2024-08-11 15:50:58,false,"Charlottesville Running","8.12","859","00:57:21","139","159","3.1","153","163","7:04","6:27","453","449","1.49","7.9","11.8","274","7:00","411","0.0","404","567","NaN","NaN","--","NaN","NaN","NaN","82.4","No","00:57:21","1","91.4","--","--","--","00:57:16","00:59:48","438","603"
Long Run,Running,2024-08-10 08:38:31,false,"Louisa County Running","14.01","1,526","01:28:50","159","178","4.3","156","163","6:21","5:24","541","535","1.62","7.4","12.0","257","6:20","446","0.0","443","600","NaN","NaN","--","NaN","NaN","NaN","82.4","No","01:28:50","1","91.4","35","22","45","01:28:44","01:38:48","346","516"
Double,Running,2024-08-09 17:02:08,false,"Charlottesville Running","4.93","547","00:32:58","151","168","3.2","153","171","6:41","5:42","230","240","1.56","7.7","12.0","267","6:41","426","0.0","422","583","NaN","NaN","--","NaN","NaN","NaN","82.4","No","00:32:58","1","95.0","--","--","--","00:32:55","00:33:56","501","585"
Training Run,Running,2024-08-09 07:27:28,false,"Charlottesville Running","9.63","1,052","01:04:02","150","168","3.7","155","174","6:39","5:30","689","673","1.56","7.6","11.8","262","6:33","435","0.0","430","584","NaN","NaN","--","NaN","NaN","NaN","78.8","No","01:04:02","1","86.0","--","--","--","01:03:58","01:08:16","446","608"
Training Run,Running,2024-08-08 07:15:06,false,"Charlottesville Running","10.12","1,080","01:08:53","145","170","3.4","154","196","6:49","4:48","879","853","1.52","7.7","11.7","265","6:42","430","0.0","419","693","NaN","NaN","--","NaN","NaN","NaN","82.4","No","01:08:53","1","89.6","--","--","--","01:08:46","01:16:08","356","609"
Recovery,Running,2024-08-07 18:31:24,false,"Charlottesville Running","6.49","690","00:47:27","136","156","2.8","150","200","7:18","5:37","331","358","1.47","8.1","11.9","285","7:16","394","0.0","390","542","NaN","NaN","--","NaN","NaN","NaN","86.0","No","00:47:27","1","89.6","--","--","--","00:47:22","00:49:40","377","587"
Workout,Running,2024-08-06 18:07:10,false,"Charlottesville Running","10.21","1,085","01:04:27","153","176","4.0","155","173","6:19","4:15","164","184","1.63","7.3","11.3","260","6:16","447","0.0","424","622","NaN","NaN","--","NaN","NaN","NaN","86.0","No","00:00:29.5","45","91.4","35","18","45","01:04:16","01:19:41","499","583"
Workout,Running,2024-08-06 06:52:22,false,"Charlottesville Running","9.30","955","00:56:11","155","178","3.9","154","170","6:02","4:46","167","184","1.70","7.1","11.8","252","6:03","461","0.0","443","562","NaN","NaN","--","NaN","NaN","NaN","82.4","No","00:01:15.2","11","91.4","35","20","45","00:56:02","01:12:48","493","585"
Training Run,Running,2024-08-05 07:09:37,false,"Charlottesville Running","9.02","938","01:00:39","141","165","3.3","155","205","6:43","3:36","486","482","1.53","7.6","11.6","264","6:43","423","0.0","417","726","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:03:20.3","3","87.8","--","--","--","01:00:29","01:07:48","421","594"
Training Run,Running,2024-08-04 11:39:06,false,"Charlottesville Running","7.85","857","00:54:06","147","164","3.3","153","167","6:54","5:49","561","574","1.51","7.8","11.8","269","6:49","420","0.0","413","579","NaN","NaN","--","NaN","NaN","NaN","87.8","No","00:54:06","1","95.0","--","--","--","00:54:02","00:57:54","445","610"
Long Run,Running,2024-08-03 08:28:53,false,"Albemarle County Running","14.51","1,562","01:31:11","157","176","4.4","157","167","6:17","5:22","610","659","1.63","7.3","11.9","254","6:16","454","0.0","449","632","NaN","NaN","--","NaN","NaN","NaN","80.6","No","01:31:11","1","89.6","--","--","--","01:31:11","01:35:56","412","493"
Workout,Running,2024-08-02 08:56:23,false,"Albemarle County Running","11.00","1,182","01:06:59","162","182","4.6","156","165","6:05","5:02","413","407","1.69","7.2","12.1","252","6:06","462","0.0","453","601","NaN","NaN","--","NaN","NaN","NaN","86.0","No","00:09:43.1","3","95.0","35","15","44","01:06:54","01:23:17","655","918"
Training Run,Running,2024-08-01 06:26:49,false,"Charlottesville Running","10.02","1,037","01:08:39","139","160","3.2","155","178","6:51","5:53","377","371","1.51","7.7","11.6","265","6:51","415","0.0","410","600","NaN","NaN","--","NaN","NaN","NaN","78.8","No","01:08:39","1","86.0","--","--","--","01:08:30","01:19:37","308","504"
Recovery,Running,2024-07-31 07:03:56,false,"Charlottesville Running","6.47","693","00:47:13","136","151","2.8","155","167","7:18","6:20","348","308","1.42","8.0","11.3","272","7:15","392","0.0","387","544","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:47:13","1","86.0","--","--","--","00:47:10","00:49:48","452","586"
Workout,Running,2024-07-30 18:19:28,false,"Albemarle County Running","8.52","890","00:54:42","147","166","3.5","154","180","6:25","4:34","144","141","1.62","7.4","11.8","256","6:23","442","0.0","427","605","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:01:00.1","17","87.8","31","17","40","00:54:33","01:11:39","535","584"
Workout,Running,2024-07-30 06:39:23,false,"Charlottesville Running","8.59","857","00:52:18","154","175","3.5","157","176","6:06","4:56","190","217","1.67","7.2","11.8","249","6:05","454","0.0","444","577","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:01:00.4","11","91.4","34","16","47","00:52:08","01:11:20","483","579"
Training Run,Running,2024-07-29 07:23:26,false,"Charlottesville Running","8.14","826","00:59:22","137","160","2.7","153","188","7:18","4:27","433","456","1.42","8.0","11.4","275","7:16","389","0.0","386","581","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:05:15.9","3","87.8","--","--","--","00:59:15","01:06:12","444","600"
Long Run,Running,2024-07-28 08:52:38,false,"Washington County Running","14.00","1,414","01:22:11","162","172","4.4","156","167","5:52","4:58","98","102","1.76","7.0","12.3","247","5:52","471","0.0","471","623","NaN","NaN","--","NaN","NaN","NaN","78.8","No","01:22:11","1","89.6","34","11","41","01:22:07","01:29:07","260","323"
WU/CD,Running,2024-07-26 08:33:51,false,"Albemarle County Running","1.54","172","00:10:44","151","159","2.1","153","161","6:58","6:16","98","23","1.49","7.8","11.6","269","6:52","424","0.0","419","531","NaN","NaN","--","NaN","NaN","NaN","86.0","No","00:10:44","1","87.8","34","24","40","00:10:43","00:11:12","655","739"
Workout,Running,2024-07-26 07:45:06,false,"Albemarle County Running","8.01","772","00:43:08","167","177","3.9","158","167","5:23","4:50","269","266","1.88","6.6","12.4","235","5:23","500","0.0","498","607","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:43:08","1","86.0","35","23","42","00:43:08","00:44:04","657","909"
WU/CD,Running,2024-07-26 07:19:51,false,"Albemarle County Running","2.02","203","00:13:52","139","147","2.1","153","162","6:51","5:47","36","105","1.53","7.8","11.9","270","6:54","405","0.0","403","488","NaN","NaN","--","NaN","NaN","NaN","77.0","No","00:13:52","1","82.4","29","19","36","00:13:52","00:16:16","655","734"
Training Run,Running,2024-07-25 13:24:22,false,"Albemarle County Running","8.48","902","00:56:35","148","161","3.4","153","178","6:40","4:22","499","469","1.56","7.6","11.9","265","6:38","426","0.0","423","630","NaN","NaN","--","NaN","NaN","NaN","89.6","No","00:02:44.2","2","95.0","34","18","41","00:56:26","01:00:50","414","619"
Double,Running,2024-07-24 18:23:40,false,"Charlottesville Running","5.01","520","00:33:03","143","157","3.0","152","167","6:36","5:25","266","341","1.59","7.6","12.1","267","6:37","430","0.0","426","618","NaN","NaN","--","NaN","NaN","NaN","87.8","No","00:33:03","1","93.2","33","20","42","00:32:59","00:35:49","418","579"
Training Run,Running,2024-07-24 06:17:29,false,"Charlottesville Running","8.01","822","00:58:52","132","149","2.8","153","177","7:21","4:58","394","417","1.43","8.1","11.5","277","7:18","391","0.0","387","576","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:58:52","1","86.0","--","--","--","00:58:45","01:02:20","365","475"
Workout,Running,2024-07-23 06:59:09,false,"Charlottesville Running","12.02","1,214","01:14:05","152","180","4.2","157","191","6:10","3:28","974","971","1.66","7.2","11.7","254","6:03","469","0.0","450","748","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:02:30.3","13","91.4","--","--","--","01:14:00","01:32:08","483","613"
